Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Urinary System,Not Polk,41.9,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Urinary System,Not Polk,31.8,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Urinary System,Not Polk,31,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Urinary System,Not Polk,18.7,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Urinary System,Not Polk,29.7,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Urinary System,Not Polk,66.1,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Urinary System,Not Polk,48.2,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Urinary System,Not Polk,46.1,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Urinary System,Not Polk,29.5,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Urinary System,Not Polk,43.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Urinary System,Not Polk,22.1,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Urinary System,Not Polk,20.2,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Urinary System,Not Polk,18.7,0.0047 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Urinary System,Not Polk,10.2,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Urinary System,Not Polk,18.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Urinary System,Not Polk,40.4,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Urinary System,Not Polk,30.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Urinary System,Not Polk,32.8,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Urinary System,Not Polk,18,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Urinary System,Not Polk,29.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Urinary System,Not Polk,63.3,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Urinary System,Not Polk,46.1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Urinary System,Not Polk,48.4,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Urinary System,Not Polk,28.2,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Urinary System,Not Polk,42.3,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Urinary System,Not Polk,21.3,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Urinary System,Not Polk,19.6,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Urinary System,Not Polk,19.7,0.1517 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Urinary System,Not Polk,9.8,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Urinary System,Not Polk,19.4,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,7.3,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,6,0.8490 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,13.1,0.8594 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,5.5,0.9962 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Polk County,2.6,0.4122 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,9.5,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,4.5,0.5455 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,29.9,0.5477 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,0,0.4543 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Polk County,2.9,0.6704 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,5.5,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,7.1,0.8687 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,11.2,0.3983 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Polk County,2.5,0.9488 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Polk County,8.9,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Polk County,4,0.1402 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Polk County,3.6,0.2818 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Polk County,3.2,0.1583 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Polk County,9.8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Polk County,3.9,0.3919 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Polk County,1.9,0.4752 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Polk County,6.1,0.8510 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Polk County,8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Polk County,4,0.4489 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Polk County,4.8,0.8764 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Polk County,0,0.1971 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Polk County,7.8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Polk County,0.8,0.0035 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Polk County,8.1,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Polk County,9.1,0.8639 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Polk County,8.9,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Polk County,0,0.0869 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Polk County,10.6,0.8155 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Polk County,13.3,0.6440 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Polk County,6.6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Polk County,1.7,0.1861 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Polk County,5.6,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Polk County,5.3,0.9622 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Polk County,6.8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Polk County,4.9,0.6077 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Polk County,0.5,0.0314 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Polk County,2.7,0.1125 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Polk County,6.6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Polk County,11.1,0.5238 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Polk County,1,0.3743 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Polk County,3.5,0.6037 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Polk County,7,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Polk County,0.7,0.0686 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Polk County,0,0.1264 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Polk County,1.9,0.2739 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Not Polk,7.9,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Not Polk,4.3,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Not Polk,3.6,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Not Polk,3.8,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Brain and Nervous System,Not Polk,5.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Not Polk,9.3,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Not Polk,4.9,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Not Polk,4.8,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Not Polk,4.4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Brain and Nervous System,Not Polk,6.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Not Polk,6.7,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Not Polk,3.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Not Polk,2.5,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Not Polk,3.4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Brain and Nervous System,Not Polk,4.8,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Not Polk,7.8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Not Polk,4.3,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Not Polk,4.5,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Not Polk,3.9,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Brain and Nervous System,Not Polk,5.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Not Polk,9.2,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Not Polk,5.1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Not Polk,4.9,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Not Polk,4.8,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Brain and Nervous System,Not Polk,6,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Not Polk,6.6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Not Polk,3.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Not Polk,4.1,0.0003 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Not Polk,3.2,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Brain and Nervous System,Not Polk,4.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Not Polk,7.8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Not Polk,4.1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Not Polk,4.7,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Not Polk,4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Brain and Nervous System,Not Polk,5.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Not Polk,9,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Not Polk,4.9,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Not Polk,5.9,0.0002 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Not Polk,4.6,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Brain and Nervous System,Not Polk,5.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Not Polk,6.6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Not Polk,3.5,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Not Polk,3.9,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Not Polk,3.4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Brain and Nervous System,Not Polk,4.7,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Not Polk,7.2,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Not Polk,4.1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Not Polk,5.1,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Not Polk,4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Brain and Nervous System,Not Polk,5.1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Not Polk,8.6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Not Polk,4.9,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Not Polk,5.7,0.0001 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Not Polk,4.7,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Brain and Nervous System,Not Polk,5.8,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Not Polk,6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Not Polk,3.5,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Not Polk,4.6,0.0190 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Not Polk,3.4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Brain and Nervous System,Not Polk,4.6,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Polk County,11.4,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Polk County,8.9,0.6531 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Polk County,10.7,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Polk County,6.4,0.5030 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Polk County,6.5,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Polk County,5.1,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Polk County,4.1,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Polk County,1.1,0.6792 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Endocrine,Polk County,15.9,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Endocrine,Polk County,12.5,0.7383 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Endocrine,Polk County,16.9,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Female,Endocrine,Polk County,12.2,0.8987 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Endocrine,Polk County,13.4,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Endocrine,Polk County,11.2,0.6860 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Endocrine,Polk County,2,0.0186 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Both,Endocrine,Polk County,6.4,0.1740 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Endocrine,Polk County,9.7,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Endocrine,Polk County,6.7,0.7699 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Endocrine,Polk County,0,0.3233 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Male,Endocrine,Polk County,0.6,0.2667 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Endocrine,Polk County,17.3,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Endocrine,Polk County,15.3,0.8835 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Endocrine,Polk County,4.2,0.1105 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2008-2012,Female,Endocrine,Polk County,12.4,0.6919 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Endocrine,Polk County,13.4,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Endocrine,Polk County,9,0.2907 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Endocrine,Polk County,13.5,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Endocrine,Polk County,12.8,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Both,Endocrine,Polk County,14.5,0.8933 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Endocrine,Polk County,8.2,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Endocrine,Polk County,3.7,0.4643 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Endocrine,Polk County,3.1,0.5943 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Male,Endocrine,Polk County,13,0.6963 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Endocrine,Polk County,18.6,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Endocrine,Polk County,13.9,0.5300 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Endocrine,Polk County,24.6,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Endocrine,Polk County,21.9,0.7476 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2013-2017,Female,Endocrine,Polk County,17.8,1.0000 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Endocrine,Polk County,15.5,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Endocrine,Polk County,11.1,0.2929 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Endocrine,Polk County,23.8,0.9605 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Endocrine,Polk County,14.7,0.9938 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Both,Endocrine,Polk County,12.9,0.6345 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Endocrine,Polk County,8.8,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Endocrine,Polk County,5.2,0.6319 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Endocrine,Polk County,60.1,0.2765 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Endocrine,Polk County,2.4,0.3442 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Male,Endocrine,Polk County,6.7,0.8328 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Endocrine,Polk County,22.2,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Endocrine,Polk County,17.1,0.4955 ,0,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Endocrine,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Endocrine,Polk County,25,0.8015 ,0,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2018-2022,Female,Endocrine,Polk County,19.7,0.8485 ,0,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Not Polk,13,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Not Polk,7.4,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Not Polk,7.5,0.0000 ,1,Indigenous
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Not Polk,11.9,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Both,Endocrine,Not Polk,9.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Not Polk,7.4,,0,White
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Not Polk,3.9,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other US Metro Counties,2003-2007,Male,Endocrine,Not Polk,3.5,0.0000 ,1,Indigenous
